1;ARICA;1
2;CAMARONES;1
3;PUTRE;2
4;GENERAL LAGOS;2
5;IQUIQUE;3
6;ALTO HOSPICIO;3
7;POZO ALMONTE;4
8;CAMINA;4
9;COLCHANE;4
10;HUARA;4
11;PICA;4
12;ANTOFAGASTA;5
13;MEJILLONES;5
14;SIERRA GORDA;5
15;TALTAL;5
16;CALAMA;6
17;OLLAGUE;6
18;SAN PEDRO DE ATACAMA;6
19;TOCOPILLA;7
20;MARIA ELENA;7
21;COPIAPO;8
22;CALDERA;8
23;TIERRA AMARILLA;8
24;CHANARAL;9
25;DIEGO DE ALMAGRO;9
26;VALLENAR;10
27;ALTO DEL CARMEN;10
28;FREIRINA;10
29;HUASCO;10
30;LA SERENA;11
31;COQUIMBO;11
32;ANDACOLLO;11
33;LA HIGUERA;11
34;PAIGUANO;11
35;VICUNA;11
36;ILLAPEL;12
37;CANELA;12
38;LOS VILOS;12
39;SALAMANCA;12
40;OVALLE;13
41;COMBARBALA;13
42;MONTE PATRIA;13
43;PUNITAQUI;13
44;RIO HURTADO;13
45;VALPARAISO;14
46;CASABLANCA;14
47;CONCON;14
48;JUAN FERNANDEZ;14
49;PUCHUNCAVI;14
50;QUINTERO;14
